DATE,WEEK,MONTH,GYM TYPE,BODYWEIGHT,PHASE,EXERCISE,MUSCLE GROUP,WEIGHT,REPS,VOLUME,ESTIMATED 1RM,RELATIVE STRENGTH
2025-04-07,15,Apr,College Gym,70.85,Bulk,Squats,Legs,27.5,12,330.0,38.5,0.5434015525758645
2025-04-07,15,Apr,College Gym,70.85,Bulk,Squats,Legs,30.0,9,270.0,39.0,0.5504587155963303
2025-04-07,15,Apr,College Gym,70.85,Bulk,Squats,Legs,30.0,8,240.0,38.0,0.5363443895553988
2025-04-07,15,Apr,College Gym,70.85,Bulk,Leg Extension,Legs,60.0,10,600.0,80.0,1.1291460832745237
2025-04-07,15,Apr,College Gym,70.85,Bulk,Leg Extension,Legs,60.0,7,420.0,74.0,1.0444601270289344
2025-04-07,15,Apr,College Gym,70.85,Bulk,Leg Extension,Legs,60.0,7,420.0,74.0,1.0444601270289344
2025-04-07,15,Apr,College Gym,70.85,Bulk,Lateral Raises,Shoulders,10.0,7,70.0,12.333333333333334,0.17407668783815575
2025-04-07,15,Apr,College Gym,70.85,Bulk,Lateral Raises,Shoulders,7.5,16,120.0,11.5,0.16231474947071278
2025-04-07,15,Apr,College Gym,70.85,Bulk,Lateral Raises,Shoulders,7.5,9,67.5,9.75,0.13761467889908258
2025-04-07,15,Apr,College Gym,70.85,Bulk,Cable Rear Delts,Shoulders,5.0,14,70.0,7.333333333333334,0.10350505763349802
2025-04-07,15,Apr,College Gym,70.85,Bulk,Cable Rear Delts,Shoulders,10.0,9,90.0,13.0,0.1834862385321101
2025-04-07,15,Apr,College Gym,70.85,Bulk,Cable Rear Delts,Shoulders,5.0,20,100.0,8.333333333333332,0.11761938367442953
2025-04-07,15,Apr,College Gym,70.85,Bulk,Overhead Press,Shoulders,17.5,7,122.5,21.583333333333336,0.3046342037167726
2025-04-07,15,Apr,College Gym,70.85,Bulk,Overhead Press,Shoulders,15.0,10,150.0,20.0,0.2822865208186309
2025-04-09,15,Apr,College Gym,71.05,Bulk,Preacher Curls Barbell,Biceps,5.0,13,65.0,7.166666666666667,0.10086793338024866
2025-04-09,15,Apr,College Gym,71.05,Bulk,Preacher Curls Barbell,Biceps,5.0,10,50.0,6.666666666666666,0.09383063570255688
2025-04-09,15,Apr,College Gym,71.05,Bulk,Preacher Curls Barbell,Biceps,5.0,7,35.0,6.166666666666667,0.08679333802486512
2025-04-09,15,Apr,College Gym,71.05,Bulk,Hammer Curls,Biceps,12.5,9,112.5,16.25,0.2287121745249824
2025-04-09,15,Apr,College Gym,71.05,Bulk,Hammer Curls,Biceps,12.5,9,112.5,16.25,0.2287121745249824
2025-04-09,15,Apr,College Gym,71.05,Bulk,Hammer Curls,Biceps,12.5,9,112.5,16.25,0.2287121745249824
2025-04-09,15,Apr,College Gym,71.05,Bulk,Incline Curls,Biceps,7.5,10,75.0,10.0,0.14074595355383535
2025-04-09,15,Apr,College Gym,71.05,Bulk,Incline Curls,Biceps,7.5,9,67.5,9.75,0.13722730471498945
2025-04-09,15,Apr,College Gym,71.05,Bulk,Incline Curls,Biceps,7.5,9,67.5,9.75,0.13722730471498945
2025-04-09,15,Apr,College Gym,71.05,Bulk,Incline Dumbbell Press,Chest,20.0,7,140.0,24.666666666666668,0.3471733520994605
2025-04-09,15,Apr,College Gym,71.05,Bulk,Incline Dumbbell Press,Chest,20.0,5,100.0,23.333333333333336,0.32840722495894914
2025-04-09,15,Apr,College Gym,71.05,Bulk,Incline Dumbbell Press,Chest,17.5,8,140.0,22.166666666666664,0.3119868637110016
2025-04-09,15,Apr,College Gym,71.05,Bulk,Dumbbell Press,Chest,17.5,9,157.5,22.75,0.32019704433497537
2025-04-09,15,Apr,College Gym,71.05,Bulk,Dumbbell Press,Chest,17.5,8,140.0,22.166666666666664,0.3119868637110016
2025-04-12,15,Apr,College Gym,70.5,Bulk,Single Arm Overhead Tricep Extension,Triceps,10.0,11,110.0,13.666666666666668,0.19385342789598112
2025-04-12,15,Apr,College Gym,70.5,Bulk,Single Arm Overhead Tricep Extension,Triceps,10.0,10,100.0,13.333333333333332,0.18912529550827423
2025-04-12,15,Apr,College Gym,70.5,Bulk,Single Arm Overhead Tricep Extension,Triceps,10.0,8,80.0,12.666666666666666,0.1796690307328605
2025-04-12,15,Apr,College Gym,70.5,Bulk,Tricep Rope Pushdown,Triceps,25.0,15,375.0,37.5,0.5319148936170213
2025-04-12,15,Apr,College Gym,70.5,Bulk,Tricep Rope Pushdown,Triceps,30.0,13,390.0,43.0,0.6099290780141844
2025-04-12,15,Apr,College Gym,70.5,Bulk,Tricep Rope Pushdown,Triceps,30.0,11,330.0,41.0,0.5815602836879432
2025-04-12,15,Apr,College Gym,70.5,Bulk,Tricep Rope Pushdown,Triceps,30.0,13,390.0,43.0,0.6099290780141844
2025-04-12,15,Apr,College Gym,70.5,Bulk,Barbell Rowing,Back,17.5,9,157.5,22.75,0.32269503546099293
2025-04-12,15,Apr,College Gym,70.5,Bulk,Barbell Rowing,Back,17.5,9,157.5,22.75,0.32269503546099293
2025-04-12,15,Apr,College Gym,70.5,Bulk,Barbell Rowing,Back,17.5,6,105.0,21.0,0.2978723404255319
2025-04-12,15,Apr,College Gym,70.5,Bulk,Mag Grip Pulldown,Back,45.0,10,450.0,60.0,0.851063829787234
2025-04-12,15,Apr,College Gym,70.5,Bulk,Mag Grip Pulldown,Back,45.0,10,450.0,60.0,0.851063829787234
2025-04-12,15,Apr,College Gym,70.5,Bulk,Mag Grip Pulldown,Back,45.0,9,405.0,58.5,0.8297872340425532
2025-04-12,15,Apr,College Gym,70.5,Bulk,Chest Supported Dumbbell Rows,Back,15.0,9,135.0,19.5,0.2765957446808511
2025-04-12,15,Apr,College Gym,70.5,Bulk,Chest Supported Dumbbell Rows,Back,12.5,10,125.0,16.666666666666664,0.23640661938534274
2025-04-12,15,Apr,College Gym,70.5,Bulk,Single Arm Pulldown,Back,45.0,11,495.0,61.5,0.8723404255319149
2025-04-12,15,Apr,College Gym,70.5,Bulk,Single Arm Pulldown,Back,37.5,13,487.5,53.75,0.7624113475177305
2025-04-14,16,Apr,College Gym,71.75,Bulk,Cable Rear Delts,Shoulders,10.0,11,110.0,13.666666666666668,0.1904761904761905
2025-04-14,16,Apr,College Gym,71.75,Bulk,Cable Rear Delts,Shoulders,10.0,10,100.0,13.333333333333332,0.18583042973286873
2025-04-14,16,Apr,College Gym,71.75,Bulk,Cable Rear Delts,Shoulders,10.0,9,90.0,13.0,0.18118466898954705
2025-04-14,16,Apr,College Gym,71.75,Bulk,Chest Supported Lateral Raises,Shoulders,7.5,13,97.5,10.75,0.14982578397212543
2025-04-14,16,Apr,College Gym,71.75,Bulk,Chest Supported Lateral Raises,Shoulders,7.5,9,67.5,9.75,0.13588850174216027
2025-04-14,16,Apr,College Gym,71.75,Bulk,Chest Supported Lateral Raises,Shoulders,7.5,10,75.0,10.0,0.13937282229965156
2025-04-14,16,Apr,College Gym,71.75,Bulk,Chest Supported Lateral Raises,Shoulders,7.5,9,67.5,9.75,0.13588850174216027
2025-04-14,16,Apr,College Gym,71.75,Bulk,Preacher Curls Barbell,Biceps,5.0,15,75.0,7.5,0.10452961672473868
2025-04-14,16,Apr,College Gym,71.75,Bulk,Preacher Curls Barbell,Biceps,7.5,6,45.0,9.0,0.1254355400696864
2025-04-14,16,Apr,College Gym,71.75,Bulk,Preacher Curls Barbell,Biceps,7.5,4,30.0,8.5,0.11846689895470383
2025-04-14,16,Apr,College Gym,71.75,Bulk,Closegrip Benchpress Ez Bar,Triceps,15.0,11,165.0,20.5,0.2857142857142857
2025-04-14,16,Apr,College Gym,71.75,Bulk,Closegrip Benchpress Ez Bar,Triceps,15.0,8,120.0,19.0,0.26480836236933797
