date,time,exercise,weight,reps
2025-10-13,5:10 pm,Dumbbell press,20.0,9
2025-10-13,5:15 pm,Dumbbell press,20.0,7
2025-10-13,5:20 pm,Dumbbell press,20.0,6
2025-10-13,5:32 pm,Barbell rowing,20.0,7
2025-10-13,5:37 pm,Barbell rowing,20.0,7
2025-10-13,5:43 pm,Barbell rowing,20.0,7
2025-10-13,6:12 pm,Seated lateral raises,7.5,12
2025-10-13,6:13 pm,Seated lateral raises,7.5,9
2025-10-13,6:16 pm,Seated lateral raises,7.5,7
2025-10-13,6:23 pm,Incline curls,10.0,15
2025-10-13,6:25 pm,Incline curls,10.0,9
2025-10-13,6:29 pm,Tricep rope pushdown,37.5,19
2025-10-13,6:31 pm,Tricep rope pushdown,37.5,11
2025-10-13,6:35 pm,Facepull,45.0,11
2025-10-13,6:37 pm,Facepull,45.0,11
2025-10-13,6:39 pm,Facepull,45.0,10
2025-10-14,6:52 pm,Deadlift,27.5,6
2025-10-14,6:57 pm,Deadlift,30.0,7
2025-10-14,7:06 pm,Deadlift,30.0,7
2025-10-14,7:16 pm,Squats,32.5,9
2025-10-14,7:24 pm,Squats,32.5,8
2025-10-14,7:30 pm,Squats,32.5,7
2025-10-14,7:38 pm,Calf raises,17.5,18
2025-10-14,7:39 pm,Calf raises,17.5,20
2025-10-14,7:41 pm,Calf raises,17.5,18
2025-10-14,7:47 pm,Cable side lateral,12.5,6
2025-10-14,7:52 pm,Cable side lateral,10.0,12
2025-10-14,7:55 pm,Cable side lateral,12.5,8
2025-10-15,6:46 pm,Closegrip benchpress,20.0,4
2025-10-15,6:51 pm,Closegrip benchpress,17.5,6
2025-10-15,6:57 pm,Closegrip benchpress,17.5,6
2025-10-15,7:02 pm,Tricep rope overhead,25.0,11
2025-10-15,7:04 pm,Tricep rope overhead,25.0,8
2025-10-15,7:06 pm,Tricep rope overhead,25.0,3
2025-10-15,7:12 pm,Incline curls,12.5,10
2025-10-15,7:15 pm,Incline curls,12.5,7
2025-10-15,7:19 pm,Incline curls,12.5,6
2025-10-15,7:24 pm,Rope hammer curls,52.5,9
2025-10-15,7:26 pm,Rope hammer curls,52.5,8
2025-10-15,7:28 pm,Rope hammer curls,52.5,8
2025-10-15,7:36 pm,Reverse curls,25.0,10
2025-10-15,7:36 pm,Reverse curls,25.0,8
2025-10-15,7:36 pm,Reverse curls,25.0,9
2025-10-27,8:07 pm,Pullups,0.0,4
2025-10-27,8:12 pm,Pullups,0.0,3
2025-10-27,8:16 pm,Pullups,0.0,3
2025-10-27,8:25 pm,Dumbbell fly,10.0,7
2025-10-27,8:27 pm,Dumbbell fly,10.0,8
2025-10-27,8:30 pm,Dumbbell fly,10.0,8
2025-10-27,8:38 pm,Barbell rowing,20.0,6
2025-10-27,8:43 pm,Barbell rowing,20.0,7
2025-10-27,8:48 pm,Barbell rowing,20.0,6
2025-10-27,8:52 pm,Seated lateral raises,7.5,11
2025-10-27,8:54 pm,Seated lateral raises,7.5,9
2025-10-27,8:56 pm,Seated lateral raises,7.5,8
2025-10-27,9:07 pm,Facepull,45.0,13
2025-10-27,9:07 pm,Facepull,45.0,10
2025-10-27,9:08 pm,Facepull,45.0,9
2025-10-29,6:42 pm,Closegrip benchpress,20.0,6
2025-10-29,6:47 pm,Closegrip benchpress,17.5,8
2025-10-29,6:52 pm,Closegrip benchpress,20.0,7
2025-10-29,6:57 pm,Tricep rope overhead,25.0,11
2025-10-29,7:00 pm,Tricep rope overhead,25.0,8
2025-10-29,7:04 pm,Tricep rope overhead,25.0,5
2025-10-29,7:14 pm,Abs crunches,52.5,15
2025-10-29,7:17 pm,Abs crunches,60.0,15
2025-10-29,7:19 pm,Abs crunches,67.5,8
2025-10-29,7:26 pm,Incline curls,12.5,11
2025-10-29,7:31 pm,Incline curls,12.5,9
2025-10-29,7:34 pm,Incline curls,12.5,5
2025-10-29,7:37 pm,Rope hammer curls,52.5,8
2025-10-29,7:39 pm,Rope hammer curls,52.5,8
2025-10-29,7:40 pm,Rope hammer curls,52.5,6
2025-10-29,7:43 pm,Reverse curls,25.0,10
2025-10-29,7:45 pm,Reverse curls,25.0,10
2025-10-29,7:46 pm,Reverse curls,25.0,7
2025-10-30,6:59 pm,Deadlift,30.0,5
2025-10-30,7:06 pm,Deadlift,27.5,13
2025-10-30,7:14 pm,Deadlift,30.0,6
2025-10-30,7:23 pm,Cable side lateral,12.5,9
2025-10-30,7:27 pm,Cable side lateral,12.5,8
2025-10-30,7:27 pm,Cable side lateral,12.5,9
2025-10-30,7:41 pm,Squats,32.5,9
2025-10-30,7:48 pm,Squats,32.5,9
2025-10-30,7:57 pm,Squats,32.5,9
2025-10-30,8:01 pm,Calf raises,30.0,14
2025-10-30,8:04 pm,Calf raises,30.0,17
2025-10-30,8:06 pm,Calf raises,30.0,18
2025-11-04,7:00 pm,Pullups,0.0,4
2025-11-04,7:04 pm,Pullups,0.0,4
2025-11-04,7:08 pm,Pullups,0.0,3
2025-11-04,7:20 pm,Cable rows,35.0,12
2025-11-04,7:22 pm,Cable rows,40.0,7
2025-11-04,7:24 pm,Cable rows,40.0,8
2025-11-04,7:39 pm,Dumbbell press,20.0,13
2025-11-04,7:42 pm,Dumbbell press,20.0,10
2025-11-04,7:47 pm,Dumbbell press,20.0,7
2025-11-04,7:50 pm,Dumbbell fly,7.5,8
2025-11-04,7:53 pm,Dumbbell fly,7.5,8
2025-11-04,7:56 pm,Dumbbell fly,7.5,8
2025-11-04,8:00 pm,Seated lateral raises,7.5,12
2025-11-04,8:02 pm,Seated lateral raises,7.5,8
2025-11-04,8:05 pm,Seated lateral raises,7.5,7
2025-11-04,8:10 pm,Facepull,45.0,14
2025-11-04,8:13 pm,Facepull,45.0,14
2025-11-04,8:16 pm,Facepull,45.0,10
2025-11-04,8:20 pm,Tricep pushdown ez bar,37.5,16
2025-11-04,8:22 pm,Tricep pushdown ez bar,37.5,14
2025-11-04,8:26 pm,Dumbbell curls,10.0,15
2025-11-04,8:29 pm,Dumbbell curls,10.0,9
2025-11-05,6:25 pm,Overhead press,17.5,6
2025-11-05,6:29 pm,Overhead press,17.5,6
2025-11-05,6:38 pm,Tricep rope overhead,25.0,9
2025-11-05,6:41 pm,Tricep rope overhead,25.0,7
2025-11-05,6:44 pm,Tricep rope overhead,25.0,5
2025-11-05,6:49 pm,Incline curls,12.5,10
2025-11-05,6:53 pm,Incline curls,12.5,9
2025-11-05,6:57 pm,Incline curls,12.5,6
2025-11-05,7:02 pm,Tricep rope pushdown,45.0,13
2025-11-05,7:05 pm,Tricep rope pushdown,45.0,12
2025-11-05,7:07 pm,Tricep rope pushdown,45.0,12
2025-11-05,7:13 pm,Incline hammer curls,12.5,7
2025-11-05,7:16 pm,Incline hammer curls,12.5,6
2025-11-05,7:18 pm,Incline hammer curls,12.5,4
2025-11-05,7:24 pm,Reverse curls,25.0,11
2025-11-05,7:26 pm,Reverse curls,25.0,10
2025-11-05,7:28 pm,Reverse curls,25.0,11
2025-11-05,7:32 pm,Cable wrist flexion,30.0,11
2025-11-05,7:34 pm,Cable wrist flexion,30.0,12
2025-11-05,7:37 pm,Cable wrist flexion,30.0,9
2025-11-07,4:42 pm,Deadlift,30.0,5
2025-11-07,4:46 pm,Deadlift,30.0,5
2025-11-07,4:59 pm,Deadlift,30.0,5
2025-11-07,5:11 pm,Squats,32.5,11
2025-11-07,5:18 pm,Squats,35.0,6
2025-11-07,5:24 pm,Squats,35.0,7
2025-11-07,5:32 pm,Cable side lateral,10.0,12
2025-11-07,5:36 pm,Cable side lateral,10.0,10
2025-11-07,5:40 pm,Cable side lateral,10.0,10
2025-11-07,5:49 pm,Abs crunches,67.5,13
2025-11-07,5:51 pm,Abs crunches,67.5,13
2025-11-07,5:54 pm,Abs crunches,67.5,11
2025-11-08,5:13 pm,Calf raises,32.5,18
2025-11-08,5:13 pm,Calf raises,32.5,20
2025-11-08,5:13 pm,Calf raises,32.5,21
2025-11-11,5:29 pm,Dumbbell press,20.0,11
2025-11-11,5:35 pm,Dumbbell press,20.0,9
2025-11-11,5:41 pm,Dumbbell press,20.0,6
2025-11-11,5:43 pm,Dumbbell fly,7.5,10
2025-11-11,5:45 pm,Dumbbell fly,7.5,10
2025-11-11,5:47 pm,Dumbbell fly,7.5,9
2025-11-11,5:58 pm,Pullups,0.0,4
2025-11-11,6:01 pm,Pullups,0.0,3
2025-11-11,6:05 pm,Pullups,0.0,3
2025-11-11,6:18 pm,Chest supported rows,17.5,7
2025-11-11,6:21 pm,Chest supported rows,17.5,7
2025-11-11,6:53 pm,Chest supported rows,17.5,7
2025-11-13,4:50 pm,Closegrip benchpress,20.0,4
2025-11-13,4:53 pm,Closegrip benchpress,17.5,7
2025-11-13,4:56 pm,Closegrip benchpress,17.5,7
2025-11-13,5:00 pm,Tricep rope overhead,25.0,9
2025-11-13,5:02 pm,Tricep rope overhead,25.0,4
2025-11-13,5:04 pm,Tricep rope overhead,20.0,5
2025-11-13,5:13 pm,Incline curls,12.5,11
