WEEK,MONTH,MUSCLE_GROUP,GYM_TYPE,PHASE,AVG_E1RM,AVG_RELATIVE_STRENGTH,TOTAL_VOLUME,E1RM_CHANGE,STRENGTH_TREND,REL_STRENGTH_CHANGE,RECOVERY_FLAG
1,Dec,Chest,Soro Gym,Bulk,41.925,0.5900774102744546,2527.5,,STABLE,,RECOVERED
1,Dec,Triceps,Soro Gym,Bulk,44.958333333333336,0.632770349519118,2017.5,,STABLE,0.04269293924466344,RECOVERED
1,Jan,Triceps,Soro Gym,Bulk,40.72222222222222,0.5609121518212428,1630.0,-4.236111111111114,DECREASING,-0.07185819769787527,RECOVERED
1,Dec,Back,Soro Gym,Bulk,52.81481481481481,0.7381525480756789,3310.0,,STABLE,0.1772403962544361,RECOVERED
1,Jan,Back,Soro Gym,Bulk,68.16666666666666,0.9389348025711661,940.0,15.351851851851848,INCREASING,0.20078225449548726,RECOVERED
1,Jan,Chest,Soro Gym,Bulk,25.25,0.3477961432506887,465.0,-16.674999999999997,DECREASING,-0.5911386593204775,RECOVERED
1,Jan,Shoulders,Soro Gym,Bulk,23.96666666666667,0.3361383824216924,970.0,,STABLE,-0.011657760828996278,RECOVERED
1,Dec,Legs,Soro Gym,Bulk,22.361111111111114,0.3147235905856595,437.5,,STABLE,-0.021414791836032898,RECOVERED
1,Jan,Legs,Soro Gym,Bulk,58.61805555555555,0.8221326164874552,5277.5,36.256944444444436,INCREASING,0.5074090259017956,RECOVERED
1,Jan,Core,Soro Gym,Bulk,30.833333333333332,0.43244506778868635,525.0,4.388888888888889,INCREASING,-0.3896875486987688,RECOVERED
1,Dec,Biceps,Soro Gym,Bulk,19.0,0.2655485674353599,360.0,,STABLE,-0.16689650035332648,RECOVERED
1,Jan,Biceps,Soro Gym,Bulk,28.458333333333332,0.39198806244260787,1730.0,9.458333333333332,INCREASING,0.126439495007248,RECOVERED
1,Dec,Core,Soro Gym,Bulk,26.444444444444443,0.3695939125708518,580.0,,STABLE,-0.022394149871756086,RECOVERED
2,Jan,Shoulders,College Gym,Bulk,7.742592592592593,0.10820242244823247,485.5,,STABLE,-0.2613914901226193,RECOVERED
2,Jan,Biceps,College Gym,Bulk,28.469696969696972,0.39860371006810774,1970.0,,STABLE,0.29040128761987527,RECOVERED
2,Jan,Chest,College Gym,Bulk,23.583333333333332,0.33235032836943657,1310.0,,STABLE,-0.06625338169867118,RECOVERED
2,Jan,Core,College Gym,Bulk,91.5,1.277932960893855,1710.0,,STABLE,0.9455826325244184,RECOVERED
2,Jan,Legs,College Gym,Bulk,44.90909090909091,0.6283772021415689,3495.0,,STABLE,-0.6495557587522861,RECOVERED
2,Jan,Triceps,College Gym,Bulk,42.48611111111111,0.5978010548074242,3370.0,,STABLE,-0.03057614733414471,RECOVERED
2,Jan,Back,College Gym,Bulk,39.208333333333336,0.5518414262256627,1732.5,,STABLE,-0.0459596285817615,RECOVERED
3,Jan,Triceps,College Gym,Bulk,47.770833333333336,0.6712394764424818,4147.5,5.2847222222222285,INCREASING,0.11939805021681915,RECOVERED
3,Jan,Chest,College Gym,Bulk,25.84375,0.3638177294712437,1327.5,2.260416666666668,INCREASING,-0.30742174697123814,RECOVERED
3,Jan,Legs,College Gym,Bulk,28.864583333333332,0.40694703609673244,1752.5,-16.044507575757574,DECREASING,0.04312930662548875,RECOVERED
3,Jan,Biceps,College Gym,Bulk,21.37121212121212,0.2973936683333578,1577.5,-7.098484848484851,DECREASING,-0.10955336776337465,RECOVERED
